,Aula,Categoria,Prof/Aluno,Nome,Link Site Br.ino,Link Direcionado,Status,Obs
4,5,Edison,Aluno,Montagem corvo e espantalho,https://brino.cc/EFAI/4_5/mont,https://docs.google.com/presentation/d/10x6I8e-oUdlOvRdgMewFjDJIGyBQuenNg5yO0z99jsw/edit?usp=sharing,Feito,
4,5,Video interno,Professor,Resumo da aula 5,https://brino.cc/EFAI/4_5/aula,,Fazer,Gravar
5,5,Animação Brastoy,Aluno,Montagem carrinho de mão,https://brino.cc/EFAI/5_5/carrinho,https://docs.google.com/presentation/d/1JhCBC4M2H--QwoB9tPqKl17NOu_xZtRt9BPh5o7t2T0/edit?usp=sharing,Feito,
5,5,Link,Aluno,EdBlock,https://brino.cc/EFAI/EdBlock,https://www.edblocksapp.com/v3/,Feito,
5,5,Link,Aluno,Blockly Games Labirinto,https://brino.cc/EFAI/5_5/labirinto,https://blockly.games/maze?lang=pt-br&level=1&skin=0,Feito,
5,5,Video interno,Professor,Resumo da aula 5,https://brino.cc/EFAI/5_5/aula,,Fazer,Gravar
5,5,Vídeo,Professor,Tutorial EdBlock,https://brino.cc/EFAI/5_5/tutorial,https://youtu.be/Dm1_GBU6Jd4,Feito,
5,5,Link,Selecionar,Dicionário EdBlock,https://brino.cc/EFAI/dicionario,https://meetedison.com/content/EdBlocks-block-guide.pdf,Feito,Em inglês
1,6,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_6/aula,,Fazer,Gravar
2,6,Vídeo,Aluno,Vídeo ou tutorial de montagem da borboleta automato,https://brino.cc/EFAI/2_6/borboleta,https://youtu.be/oxpnvJP9iIY,Feito,
2,6,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_6/aula,,Fazer,Gravar
2,6,Video interno,Professor,Vídeo sobre a plataforma Octostudio ,https://brino.cc/EFAI/2_6/video,,Fazer,Gravar
3,6,Link,Aluno,Animated Drawing,https://brino.cc/EFAI/3_6/ani,https://sketch.metademolab.com/canvas,Feito,
3,6,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_6/aula,,Fazer,Gravar
4,6,Plataforma,Aluno,Plataforma Turtle,https://brino.cc/EFAI/4_6/tartaruga,https://blockly.games/turtle?lang=pt-br,Feito,
4,6,Video interno,Professor,Resumo da aula 6,https://brino.cc/EFAI/4_6/aula,,Fazer,Gravar
5,6,Link,Aluno,Máscaras Japonesas,https://brino.cc/EFAI/5_6/mascaras,https://www.youtube.com/watch?v=8c6eVTBvXSk,Feito,
5,6,Video interno,Professor,Resumo da aula 6,https://brino.cc/EFAI/5_6/aula,,Fazer,Gravar
5,6,Vídeo,Aluno,Sumô,https://brino.cc/EFAI/5_6/sumo,https://youtube.com/shorts/od5jfWScPsg?feature=shared,Feito,
1,7,Animação Brastoy,Aluno,Montagem da vara de pesca,https://brino.cc/EFAI/1_7/mont,https://docs.google.com/presentation/d/1Q72zXDcqkEFiqeN33S25JclcqeupShP0y4y2ySA4x9o/edit?usp=sharing,Feito,
1,7,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_7/aula,,Fazer,Gravar
2,7,Link,Aluno,Teste de condutividade Makey Makey,https://brino.cc/EFAI/2_7/teste,https://apps.makeymakey.com/play/#is%20it%20conductive,Feito,
2,7,Animação Brastoy,Aluno,Instruções operando (aluno),https://brino.cc/EFAI/2_7/cirurgia,https://docs.google.com/presentation/d/1SoDrJMbAiEVkG69y4kWaUyOqRIKQCPNbc2JsspZj65c/edit?usp=sharing,Feito,
2,7,Video interno,Professor,Instruções operando (professor),https://brino.cc/EFAI/2_7/operando,,Fazer,Gravar
2,7,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_7/aula,,Fazer,Gravar
3,7,Edison,Aluno,Robo tambor,https://brino.cc/EFAI/3_7/mont,https://docs.google.com/presentation/d/1WQHkAICmsyLirIOYIK5NcAn4McW9A-A8GC8Kv84uMtc/edit?usp=sharing,Feito,
3,7,Link,Aluno,Notas compartilhadas,https://brino.cc/EFAI/3_7/promp,https://rustpad.io/#G5qWWf,Feito,Senha: brino
3,7,Link,Aluno,Notas compartilhadas,https://brino.cc/EFAI/3_7/prompn,https://rustpad.io/#nJsLmG,Feito,"Feito para professoras com aula coincidente
Senha: brino"
3,7,Link,Aluno,Notas compartilhadas,https://brino.cc/EFAI/3_7/promps,https://rustpad.io/#hGlaVx,Feito,"Feito para professoras com aula coincidente
Senha: brino"
3,7,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_7/aula,,Fazer,Gravar
3,7,Vídeo,Professor,Entendendo IA generativa,https://brino.cc/EFAI/3_7/ia,https://youtu.be/TPNIFptD50Y?feature=shared,Feito,
3,7,Link,Professor,IA generativa para imagens,https://brino.cc/EFAI/3_7/gerar,https://firefly.adobe.com/inspire/images?ff_channel=adobe_com&ff_campaign=feature_page&ff_source=firefly_seo,Feito,Corrigir para mais opções de plataforma (2_2/ia)
4,7,Animação Brastoy,Aluno,Montagem da ponte levadiça,https://brino.cc/EFAI/4_7/mont,https://docs.google.com/presentation/d/1q3KK5nVya9-EvzQK4SCDLrWbFSqeBUUn9vSol4Y3Iz0/edit?usp=sharing,Feito,
4,7,Video interno,Professor,Resumo da aula 7,https://brino.cc/EFAI/4_7/aula,,Fazer,Gravar
5,7,Link,Aluno,Jogo limpando o oceano,https://brino.cc/EFAI/5_7/oceano,https://studio.code.org/s/oceans/lessons/1/levels/2,Fazer,
5,7,Edison,Aluno,Montagem lixeira,https://brino.cc/EFAI/5_7/montagem ,https://docs.google.com/presentation/d/1YZg5frgUUDPt-x3S4tP7-R376pDQtpLtViHSWUVopzE/edit?usp=sharing,Feito,
5,7,Video interno,Professor,Resumo da aula 7,https://brino.cc/EFAI/5_7/aula,,Fazer,Gravar
1,8,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/1_8/aula,,Fazer,Gravar
1,8,Animação Brastoy,Aluno,Montagem do relogio,https://brino.cc/EFAI/1_5/relogio ,https://docs.google.com/presentation/d/1BdHMYTZaA4y5e-YB-RAs7UGDc5-0kzjvY1KyydhzqX4/edit?usp=sharing,Feito,APAGAR?
1,8,Video interno,Aluno,Craft da flor,https://brino.cc/EFAI/1_8/flor,,Fazer,
2,8,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/2_8/aula,,Fazer,
2,8,Animação Brastoy,Aluno,Máquina maluca ,https://brino.cc/EFAI/2_8/maquina,,Fazer,
2,8,Animação Brastoy,Aluno,Lançador de avião de papel,https://brino.cc/EFAI/2_8/lancador,https://docs.google.com/presentation/d/118q0XpoiTMKombOTBbfb6V8f009gMPu8QsCFTS22BlQ/edit?usp=sharing,Feito,
3,8,Video interno,Professor,Resumo da aula ,https://brino.cc/EFAI/3_8/aula,,Fazer,
